DAY,DATE,HOLIDAY,,,,,,
Saturday,5/1/2021,May Day,,,,,,
Friday,5/7/2021,Jamat Ul-Vida,,,,,,
Sunday,5/9/2021,Mother's Day,,,,,,
Sunday,5/9/2021,Birthday of Ravindranath,,,,,,
Friday,5/14/2021,Ramzan Id/Eid-ul-Fitar,,,,,,
Friday,5/14/2021,Ramzan Id/Eid-ul-Fitar,,,,,,
Wednesday,5/26/2021,Buddha Purnima/Vesak,,,,,,
,,,,,,,,
Sunday,6/20/2021,Father's Day,,,,,,
Monday,6/21/2021,June Solstice,,,,,,
,,,,,,,,
Monday,7/12/2021,Rath Yatra,,,,,,
Wednesday,7/21/2021,Bakr Id/Eid ul-Adha,,,,,,
Saturday,7/24/2021,Guru Purnima,,,,,,
,,,,,,,,
Sunday,8/1/2021,Friendship Day,,,,,,
Sunday,8/15/2021,Independence Day,,,,,,
Monday,8/16/2021,Parsi New Year,,,,,,
Friday,8/20/2021,Muharram/Ashura,,,,,,
Saturday,8/21/2021,Onam,,,,,,
Sunday,8/22/2021,Raksha Bandhan (Rakhi),,,,,,
Monday,8/30/2021,Janmashtami,,,,,,
Monday,8/30/2021,Janmashtami (Smarta),,,,,,
,,,,,,,,
Friday,9/10/2021,Ganesh Chaturthi/Vinayaka Chaturthi,,,,,,
Thursday,9/23/2021,September Equinox,,,,,,
,,,,,,,,
Saturday,10/2/2021,Mahatma Gandhi Jayanti,,,,,,
Thursday,10/7/2021,First Day of Sharad Navratri,,,,,,
Monday,10/11/2021,First Day of Durga Puja Festivities,,,,,,
Tuesday,10/12/2021,Maha Saptami,,,,,,
Wednesday,10/13/2021,Maha Ashtami,,,,,,
Thursday,10/14/2021,Maha Navami,,,,,,
Friday,10/15/2021,Dussehra,,,,,,
Tuesday,10/19/2021,Milad un-Nabi/Id-e-Milad,,,,,,
Wednesday,10/20/2021,Maharishi Valmiki Jayanti,,,,,,
Sunday,10/24/2021,Karaka Chaturthi (Karva Chauth),,,,,,
Sunday,10/31/2021,Halloween,,,,,,
,,,,,,,,
Thursday,11/4/2021,Naraka Chaturdasi,,,,,,
Thursday,11/4/2021,Diwali/Deepavali,,,,,,
Friday,11/5/2021,Govardhan Puja,,,,,,
Saturday,11/6/2021,Bhai Duj,,,,,,
Wednesday,11/10/2021,Chhat Puja (Pratihar Sashthi/Surya Sashthi),,,,,,
Friday,11/19/2021,Guru Nanak Jayanti,,,,,,
Wednesday,11/24/2021,Guru Tegh Bahadur's Martyrdom Day,,,,,,
Monday,11/29/2021,First Day of Hanukkah,,,,,,
,,,,,,,,
Monday,12/6/2021,Last day of Hanukkah,,,,,,
Tuesday,12/21/2021,December Solstice,,,,,,
Friday,12/24/2021,Christmas Eve,,,,,,
Saturday,12/25/2021,Christmas,,,,,,
Friday,12/31/2021,New Year's Eve,,,,,,
